"date","lvl","n"
2016-01-30,"376-400",96
2016-01-30,"401-425",107
2016-01-30,"426-450",34
2016-01-30,"451-475",0
2016-01-30,"476-500",0
2016-01-30,"501-525",0
2016-01-31,"1-25",65947
2016-01-31,"26-50",120744
2016-01-31,"51-75",60407
2016-01-31,"76-100",47981
2016-01-31,"101-125",29977
2016-01-31,"126-150",19064
2016-01-31,"151-175",7679
2016-01-31,"176-200",5767
2016-01-31,"201-225",3861
2016-01-31,"226-250",3599
2016-01-31,"251-275",206
2016-01-31,"276-300",185
2016-01-31,"301-325",180
2016-01-31,"326-350",101
2016-01-31,"351-375",100
2016-01-31,"376-400",87
2016-01-31,"401-425",124
2016-01-31,"426-450",74
2016-01-31,"451-475",0
2016-01-31,"476-500",0
2016-01-31,"501-525",0
2016-02-01,"1-25",59006
2016-02-01,"26-50",117903
2016-02-01,"51-75",60075
2016-02-01,"76-100",48349
2016-02-01,"101-125",30333
2016-02-01,"126-150",19231
2016-02-01,"151-175",7797
2016-02-01,"176-200",5916
2016-02-01,"201-225",4012
2016-02-01,"226-250",3714
2016-02-01,"251-275",219
2016-02-01,"276-300",183
2016-02-01,"301-325",192
2016-02-01,"326-350",108
2016-02-01,"351-375",93
2016-02-01,"376-400",80
2016-02-01,"401-425",115
2016-02-01,"426-450",88
2016-02-01,"451-475",0
2016-02-01,"476-500",0
2016-02-01,"501-525",0
2016-02-02,"1-25",58306
2016-02-02,"26-50",117286
2016-02-02,"51-75",60221
2016-02-02,"76-100",48732
2016-02-02,"101-125",30646
2016-02-02,"126-150",19668
2016-02-02,"151-175",7861
2016-02-02,"176-200",6052
2016-02-02,"201-225",4129
2016-02-02,"226-250",3830
2016-02-02,"251-275",210
2016-02-02,"276-300",184
2016-02-02,"301-325",182
2016-02-02,"326-350",122
2016-02-02,"351-375",89
2016-02-02,"376-400",89
2016-02-02,"401-425",99
2016-02-02,"426-450",100
2016-02-02,"451-475",0
2016-02-02,"476-500",0
2016-02-02,"501-525",0
2016-02-03,"1-25",59706
2016-02-03,"26-50",116728
2016-02-03,"51-75",60305
2016-02-03,"76-100",48955
2016-02-03,"101-125",31157
2016-02-03,"126-150",19625
2016-02-03,"151-175",8116
2016-02-03,"176-200",6145
2016-02-03,"201-225",4136
2016-02-03,"226-250",4056
2016-02-03,"251-275",223
2016-02-03,"276-300",195
2016-02-03,"301-325",183
2016-02-03,"326-350",135
2016-02-03,"351-375",76
2016-02-03,"376-400",92
2016-02-03,"401-425",97
2016-02-03,"426-450",90
2016-02-03,"451-475",0
2016-02-03,"476-500",0
2016-02-03,"501-525",0
2016-02-04,"1-25",60033
2016-02-04,"26-50",115784
2016-02-04,"51-75",60009
2016-02-04,"76-100",49004
2016-02-04,"101-125",31286
2016-02-04,"126-150",19552
2016-02-04,"151-175",8463
2016-02-04,"176-200",6208
2016-02-04,"201-225",4114
2016-02-04,"226-250",4293
2016-02-04,"251-275",213
2016-02-04,"276-300",178
2016-02-04,"301-325",193
2016-02-04,"326-350",132
2016-02-04,"351-375",78
2016-02-04,"376-400",89
2016-02-04,"401-425",97
2016-02-04,"426-450",77
2016-02-04,"451-475",42
2016-02-04,"476-500",5
2016-02-04,"501-525",0
2016-02-05,"1-25",62877
2016-02-05,"26-50",115079
2016-02-05,"51-75",59451
2016-02-05,"76-100",48739
2016-02-05,"101-125",31242
2016-02-05,"126-150",19191
2016-02-05,"151-175",8810
2016-02-05,"176-200",6239
2016-02-05,"201-225",4078
2016-02-05,"226-250",4457
2016-02-05,"251-275",239
2016-02-05,"276-300",204
2016-02-05,"301-325",195
2016-02-05,"326-350",138
2016-02-05,"351-375",93
2016-02-05,"376-400",78
2016-02-05,"401-425",107
2016-02-05,"426-450",61
2016-02-05,"451-475",73
2016-02-05,"476-500",48
2016-02-05,"501-525",0
2016-02-06,"1-25",70846
2016-02-06,"26-50",116518
2016-02-06,"51-75",59341
2016-02-06,"76-100",48969
2016-02-06,"101-125",31339
2016-02-06,"126-150",19240
2016-02-06,"151-175",9172
2016-02-06,"176-200",6409
2016-02-06,"201-225",4095
2016-02-06,"226-250",4681
2016-02-06,"251-275",263
2016-02-06,"276-300",211
2016-02-06,"301-325",195
2016-02-06,"326-350",158
2016-02-06,"351-375",86
2016-02-06,"376-400",91
2016-02-06,"401-425",97
2016-02-06,"426-450",70
2016-02-06,"451-475",72
2016-02-06,"476-500",76
2016-02-06,"501-525",0
2016-02-07,"1-25",74908
2016-02-07,"26-50",121186
2016-02-07,"51-75",60203
2016-02-07,"76-100",49323
2016-02-07,"101-125",31343
2016-02-07,"126-150",19030
2016-02-07,"151-175",9337
2016-02-07,"176-200",6386
2016-02-07,"201-225",4174
2016-02-07,"226-250",4768
2016-02-07,"251-275",286
2016-02-07,"276-300",223
2016-02-07,"301-325",192
2016-02-07,"326-350",166
2016-02-07,"351-375",92
2016-02-07,"376-400",87
2016-02-07,"401-425",91
2016-02-07,"426-450",71
2016-02-07,"451-475",62
2016-02-07,"476-500",84
2016-02-07,"501-525",0
2016-02-08,"1-25",70089
2016-02-08,"26-50",121906
2016-02-08,"51-75",60728
2016-02-08,"76-100",50255
2016-02-08,"101-125",32326
2016-02-08,"126-150",19422
2016-02-08,"151-175",9687
2016-02-08,"176-200",6521
2016-02-08,"201-225",4395
2016-02-08,"226-250",5017
2016-02-08,"251-275",313
2016-02-08,"276-300",233
2016-02-08,"301-325",202
2016-02-08,"326-350",158
2016-02-08,"351-375",90
2016-02-08,"376-400",98
2016-02-08,"401-425",96
2016-02-08,"426-450",72
2016-02-08,"451-475",48
2016-02-08,"476-500",76
2016-02-08,"501-525",0
2016-02-09,"1-25",71189
2016-02-09,"26-50",123606
2016-02-09,"51-75",60982
2016-02-09,"76-100",51015
2016-02-09,"101-125",32612
2016-02-09,"126-150",19602
2016-02-09,"151-175",10044
2016-02-09,"176-200",6644
2016-02-09,"201-225",4428
2016-02-09,"226-250",5204
2016-02-09,"251-275",373
2016-02-09,"276-300",234
2016-02-09,"301-325",218
2016-02-09,"326-350",152
2016-02-09,"351-375",98
2016-02-09,"376-400",97
2016-02-09,"401-425",88
2016-02-09,"426-450",88
2016-02-09,"451-475",52
2016-02-09,"476-500",72
2016-02-09,"501-525",0
2016-02-10,"1-25",72339
2016-02-10,"26-50",124999
2016-02-10,"51-75",61514
2016-02-10,"76-100",51420
2016-02-10,"101-125",32998
2016-02-10,"126-150",19721
2016-02-10,"151-175",10311
2016-02-10,"176-200",6753
2016-02-10,"201-225",4423
2016-02-10,"226-250",5549
2016-02-10,"251-275",393
2016-02-10,"276-300",236
2016-02-10,"301-325",207
2016-02-10,"326-350",170
2016-02-10,"351-375",91
2016-02-10,"376-400",98
2016-02-10,"401-425",88
2016-02-10,"426-450",76
2016-02-10,"451-475",55
2016-02-10,"476-500",64
2016-02-10,"501-525",0
2016-02-11,"1-25",72286
2016-02-11,"26-50",126210
2016-02-11,"51-75",61874
2016-02-11,"76-100",51900
2016-02-11,"101-125",33263
2016-02-11,"126-150",19910
2016-02-11,"151-175",10570
2016-02-11,"176-200",6816
2016-02-11,"201-225",3972
2016-02-11,"226-250",6360
2016-02-11,"251-275",462
2016-02-11,"276-300",262
2016-02-11,"301-325",206
2016-02-11,"326-350",167
2016-02-11,"351-375",95
2016-02-11,"376-400",94
2016-02-11,"401-425",92
2016-02-11,"426-450",65
2016-02-11,"451-475",63
2016-02-11,"476-500",55
2016-02-11,"501-525",42
2016-02-12,"1-25",75908
2016-02-12,"26-50",126472
2016-02-12,"51-75",62032
2016-02-12,"76-100",52087
2016-02-12,"101-125",33454
2016-02-12,"126-150",20005
2016-02-12,"151-175",10842
2016-02-12,"176-200",6957
2016-02-12,"201-225",3749
2016-02-12,"226-250",6884
2016-02-12,"251-275",596
2016-02-12,"276-300",294
2016-02-12,"301-325",201
2016-02-12,"326-350",180
2016-02-12,"351-375",92
2016-02-12,"376-400",91
2016-02-12,"401-425",93
2016-02-12,"426-450",69
2016-02-12,"451-475",66
2016-02-12,"476-500",45
2016-02-12,"501-525",142
2016-02-13,"1-25",82057
2016-02-13,"26-50",129641
2016-02-13,"51-75",62349
2016-02-13,"76-100",52316
2016-02-13,"101-125",33694
2016-02-13,"126-150",20032
2016-02-13,"151-175",11034
2016-02-13,"176-200",7151
2016-02-13,"201-225",3647
2016-02-13,"226-250",7117
2016-02-13,"251-275",834
2016-02-13,"276-300",341
2016-02-13,"301-325",202
2016-02-13,"326-350",186
2016-02-13,"351-375",100
2016-02-13,"376-400",92
2016-02-13,"401-425",94
2016-02-13,"426-450",74
2016-02-13,"451-475",67
2016-02-13,"476-500",34
2016-02-13,"501-525",150
2016-02-14,"1-25",82493
2016-02-14,"26-50",133213
2016-02-14,"51-75",64116
2016-02-14,"76-100",53415
2016-02-14,"101-125",34547
2016-02-14,"126-150",20585
2016-02-14,"151-175",11255
2016-02-14,"176-200",7361
2016-02-14,"201-225",3602
2016-02-14,"226-250",7240
